statistic,value
inspected_candidate_instruction_count,30456
inspected_file_count,372
final_not_to_do_count,2542
final_not_to_do_pct_of_inspected_candidates,8.346467
files_with_final_not_to_do_count,293
files_with_final_not_to_do_pct,78.763441
mean_candidate_instruction_count_per_file,81.870968
median_candidate_instruction_count_per_file,67.000000
mean_final_not_to_do_count_per_file,6.833333
median_final_not_to_do_count_per_file,4.000000
max_final_not_to_do_count_per_file,65
mean_final_not_to_do_pct_of_file,8.288527
median_final_not_to_do_pct_of_file,6.058554
max_final_not_to_do_pct_of_file,66.666667
content_split_candidate_instruction_count,30465
inspection_coverage_pct_of_content_split,99.970458
content_split_minus_inspected_count,9
